rep_id,rep_name,segment,territory,hire_date,termination_date,annual_quota,ramp_profile_id,commission_rate_new,commission_rate_expansion,manager_id
REP-001,Esperanza Stellenbosch,SMB,Mountain,2019-01-15,2022-09-30,700000,standard,0.09,0.06,MGR-01
REP-002,Fatima Eriksen,SMB,Mountain,2019-01-25,2019-05-31,700000,standard,0.09,0.06,MGR-01
REP-003,Devon Fairweather,SMB,Mountain,2019-01-05,2022-10-31,700000,standard,0.09,0.06,MGR-01
REP-004,Rosalind Eriksen,SMB,Midwest,2019-01-20,2020-06-30,700000,standard,0.09,0.06,MGR-01
REP-005,Priya Hollingsworth,SMB,Midwest,2019-01-23,2024-04-30,700000,standard,0.09,0.06,MGR-01
REP-007,Emeka Bhattacharya,Mid-Market,Midwest,2019-01-18,2024-06-30,1000000,standard,0.09,0.06,MGR-02
REP-008,Damaris Fairweather,Mid-Market,Southwest,2019-01-11,2019-05-31,1000000,standard,0.09,0.06,MGR-02
REP-009,Damaris Jamieson,Mid-Market,Southwest,2019-01-06,2019-02-28,1000000,standard,0.09,0.06,MGR-02
REP-010,Anouk Reyes,Mid-Market,West,2019-01-02,,1000000,standard,0.09,0.06,MGR-02
REP-011,Juniper Yamamoto,Mid-Market,West,2019-01-20,2020-06-30,1000000,standard,0.09,0.06,MGR-02
REP-012,Soren Fairweather,Enterprise,Mountain,2019-01-13,2023-09-30,1400000,enterprise,0.09,0.06,MGR-03
REP-014,Zubeida Sandoval,Enterprise,Midwest,2019-01-02,2026-04-30,1400000,enterprise,0.09,0.06,MGR-03
REP-015,Solveig Quimby,Mid-Market,Mountain,2019-02-09,2021-05-31,1000000,standard,0.09,0.06,MGR-02
REP-016,Jian Zielinski,SMB,West,2019-05-13,2024-01-31,700000,standard,0.09,0.06,MGR-01
REP-017,Esperanza Abernathy,Mid-Market,Mountain,2019-05-01,2021-09-30,1000000,standard,0.09,0.06,MGR-02
REP-018,Esperanza Kaminski,Mid-Market,West,2019-10-25,2025-02-28,1000000,standard,0.09,0.06,MGR-02
REP-019,Kestrel Abernathy,SMB,Southwest,2020-06-18,2022-08-31,700000,standard,0.09,0.06,MGR-01
REP-020,Rafael Ostrander,Mid-Market,Midwest,2020-06-17,2020-09-30,1000000,standard,0.09,0.06,MGR-02
REP-021,Tobias Lefebvre,Mid-Market,Midwest,2020-09-18,2020-11-30,1000000,standard,0.09,0.06,MGR-02
REP-022,Reyna Larkspur,Mid-Market,West,2020-11-26,2021-11-30,1000000,standard,0.09,0.06,MGR-02
REP-023,Saoirse Eriksen,Mid-Market,Midwest,2021-05-18,2024-07-31,1000000,standard,0.09,0.06,MGR-02
REP-024,Rosalind Hollingsworth,Mid-Market,West,2021-09-06,2022-06-30,1000000,standard,0.09,0.06,MGR-02
REP-025,Adaeze Quimby,Enterprise,West,2021-10-22,2022-08-31,1400000,enterprise,0.09,0.06,MGR-03
REP-026,Nadia Eriksen,Mid-Market,Mountain,2021-11-11,,1000000,standard,0.09,0.06,MGR-02
REP-027,Osric Hollingsworth,Mid-Market,Mountain,2022-06-26,2023-07-31,1000000,standard,0.09,0.06,MGR-02
REP-028,Xiomara Pellegrino,SMB,Mountain,2022-08-21,2024-02-29,700000,standard,0.09,0.06,MGR-01
REP-029,Cormac Jorgensen,Enterprise,Southwest,2022-08-22,,1400000,enterprise,0.09,0.06,MGR-03
REP-030,Ilaria Thornbury,SMB,West,2022-09-22,,700000,standard,0.09,0.06,MGR-01
REP-031,Mateo Nazarian,SMB,West,2022-10-07,2024-09-30,700000,standard,0.09,0.06,MGR-01
REP-032,Priya Dunleavy,Mid-Market,Southwest,2023-07-24,,1000000,standard,0.09,0.06,MGR-02
REP-033,Wren Ivanov,Enterprise,Southwest,2023-09-21,2024-09-30,1400000,enterprise,0.09,0.06,MGR-03
REP-034,Fatima Reyes,SMB,Midwest,2024-01-18,2024-04-30,700000,standard,0.09,0.06,MGR-01
REP-035,Noor Falkenrath,SMB,Midwest,2024-02-11,,700000,standard,0.09,0.06,MGR-01
REP-036,Lorcan Marchand,SMB,Mountain,2024-04-16,2024-05-31,700000,standard,0.09,0.06,MGR-01
REP-037,Solveig Zielinski,SMB,Southwest,2024-04-06,,700000,standard,0.09,0.06,MGR-01
REP-038,Soren Underwood,SMB,West,2024-05-20,,700000,standard,0.09,0.06,MGR-01
REP-039,Osric Montoya,Mid-Market,Southwest,2024-06-14,,1000000,standard,0.09,0.06,MGR-02
REP-040,Leila Papadopoulos,Mid-Market,West,2024-07-20,2025-02-28,1000000,standard,0.09,0.06,MGR-02
REP-041,Jian Engebretsen,Mid-Market,Mountain,2024-07-12,2025-04-30,1000000,standard,0.09,0.06,MGR-02
REP-042,Leila Vasquez,Enterprise,Mountain,2024-07-03,2024-09-30,1400000,enterprise,0.09,0.06,MGR-03
REP-043,Nadia Abernathy,SMB,Midwest,2024-09-14,2025-04-30,700000,standard,0.09,0.06,MGR-01
REP-044,Malachi Dunleavy,Enterprise,Southwest,2024-09-12,,1400000,enterprise,0.09,0.06,MGR-03
REP-045,Rashid Pellegrino,Enterprise,Mountain,2024-09-14,,1400000,enterprise,0.09,0.06,MGR-03
REP-046,Salim Ghorbani,Mid-Market,Midwest,2025-02-19,2026-03-31,1000000,standard,0.09,0.06,MGR-02
REP-047,Jian Ivanov,Mid-Market,Midwest,2025-02-09,2025-10-31,1000000,standard,0.09,0.06,MGR-02
REP-048,Wren Yamamoto,SMB,Midwest,2025-04-02,,700000,standard,0.09,0.06,MGR-01
REP-049,Leila Ostrander,Mid-Market,Mountain,2025-04-02,2026-02-28,1000000,standard,0.09,0.06,MGR-02
REP-050,Rosalind Ashcombe,Mid-Market,Mountain,2025-10-03,2026-06-30,1000000,standard,0.09,0.06,MGR-02
